시험연도,수능일,비고
2017,2016-11-17,
2018,2017-11-23,원래 2017-11-16 예정이었으나 2017 포항지진으로 1주 연기
2019,2018-11-15,
2020,2019-11-14,
2021,2020-12-03,원래 2020-11-19 예정이었으나 COVID-19로 2주 연기
2022,2021-11-18,
2023,2022-11-17,
2024,2023-11-16,
2025,2024-11-14,
2026,2025-11-13,
2027,2026-11-19,통상 일정(11월 3번째 목요일) 기반 추정치—확정 공고 시 갱신 권장
